id,name,geometry
0,,POINT (71.44003 51.17217)
1,,POINT (71.45287 51.17409)
2,,POINT (71.54549 51.13115)
3,Керуен,POINT (71.42531 51.12779)
4,Хан Шатыр,POINT (71.40393 51.1325)
5,,POINT (71.48761 51.15775)
6,"ТЦ ""АРУЖАН""",POINT (71.48291 51.16023)
7,Keruen City,POINT (71.4139 51.14541)
8,Азия-Парк,POINT (71.41161 51.12811)
9,,POINT (71.43564 51.1778)
10,Торговый центр Артем,POINT (71.43683 51.17325)
11,,POINT (71.44575 51.149)
12,Астана Молл (Ажар),POINT (71.46594 51.1402)
13,Торговый центр Жайлы,POINT (71.47405 51.14536)
14,,POINT (71.476 51.13898)
15,ТРЦ Сары арка,POINT (71.41046 51.13842)
16,"ТЦ ""Каскад""",POINT (71.42414 51.14597)
17,,POINT (71.37688 51.17957)
18,"Мечта, торговый дом",POINT (71.42377 51.17506)
19,Small,POINT (71.51243 51.14527)
20,,POINT (71.41861 51.17775)
21,,POINT (71.48503 51.15531)
22,"""Бахус"" 5 Минут",POINT (71.48689 51.15362)
23,,POINT (71.40755 51.19213)
24,,POINT (71.57165 51.13603)
25,,POINT (71.47294 51.14824)
26,Central Market,POINT (71.46506 51.19663)
27,Мега Силк Вей,POINT (71.40756 51.08908)
