id,addr_street,addr_housenumber,building_levels,image_link,geometry,name
0,улица Шокана Валиханова,20,2,,"POLYGON ((71.4397005 51.1716556, 71.4406151 51.1717587, 71.4403505 51.1726814, 71.4394359 51.1725782, 71.4397005 51.1716556))",
1,улица Элимхана Сембинова,19/1,2,,"POLYGON ((71.4524182 51.1745398, 71.4520162 51.1739644, 71.4532809 51.1736172, 71.4537268 51.1742555, 71.453269 51.1743813, 71.453225 51.1743182, 71.4524182 51.1745398))",
2,улица Капал,4/1,2,,"POLYGON ((71.5448871 51.1316507, 71.544641 51.1310285, 71.5444998 51.1310505, 71.5444112 51.1308265, 71.5447788 51.1307692, 71.5448276 51.1308926, 71.5461934 51.1306798, 71.5464793 51.1314027, 71.5448871 51.1316507))",
3,улица Достык,9,,,"POLYGON ((71.4244795 51.1277078, 71.4243232 51.127345, 71.4249991 51.1272302, 71.4251305 51.1272079, 71.4258046 51.1270935, 71.425961 51.1274564, 71.426019 51.1275908, 71.4262967 51.1282354, 71.4248153 51.1284868, 71.4245375 51.1278423, 71.4244795 51.1277078))",Керуен
4,проспект Туран,37,10,,"POLYGON ((71.4049568 51.1322989, 71.4049812 51.1323703, 71.4049702 51.1324449, 71.4049377 51.1325231, 71.4048859 51.1325908, 71.4047883 51.1327013, 71.4046319 51.1328221, 71.4044825 51.1329009, 71.4043469 51.1329603, 71.4041682 51.1330029, 71.4039595 51.1330302, 71.4037524 51.1330393, 71.4035411 51.1330219, 71.4033441 51.1329707, 71.403175 51.1328893, 71.4030453 51.1327831, 71.4029637 51.1326596, 71.4029359 51.1325269, 71.4029637 51.1323943, 71.4030453 51.1322708, 71.40316 51.1321662, 71.4032874 51.1320965, 71.4034184 51.1320522, 71.4035747 51.1320098, 71.4037318 51.1319826, 71.4039405 51.1319758, 71.4041898 51.131986, 71.4043795 51.1320149, 71.4045611 51.1320642, 71.4047508 51.1321492, 71.4048863 51.1322292, 71.4049568 51.1322989))",Хан Шатыр
5,проспект Абылай Хана,27/3,3,,"POLYGON ((71.4876644 51.1580677, 71.4872047 51.157557, 71.4875502 51.1574346, 71.4880099 51.1579454, 71.4876644 51.1580677))",
6,улица Илияс Жансугирулы,8/1,4,,"POLYGON ((71.4827132 51.1608219, 71.481986 51.1600606, 71.4831004 51.1596419, 71.4838276 51.1604032, 71.4827132 51.1608219))","ТЦ ""АРУЖАН"""
7,Кургальжинское шоссе,1,3,,"POLYGON ((71.4135282 51.1456694, 71.4134452 51.145696, 71.413297 51.1457057, 71.4131498 51.1456909, 71.4130137 51.1456528, 71.412898 51.1455939, 71.4128106 51.1455182, 71.4127573 51.1454308, 71.4127419 51.1453378, 71.4127654 51.1452455, 71.4128262 51.1451601, 71.4129202 51.1450876, 71.4130408 51.1450327, 71.41318 51.1449993, 71.4133283 51.1449896, 71.4134754 51.1450044, 71.4136115 51.1450425, 71.4137272 51.1451015, 71.4142296 51.1451189, 71.4150931 51.1452466, 71.4149438 51.1458214, 71.4135282 51.1456694))",Keruen City
8,проспект Кабанбай Батыра,21,4,,"POLYGON ((71.410459 51.1277945, 71.4112622 51.1278356, 71.4112754 51.127882, 71.4120068 51.1277846, 71.4119818 51.1277126, 71.4122246 51.127621, 71.4123453 51.1275766, 71.4124048 51.1275535, 71.4124352 51.1275427, 71.4124511 51.1275373, 71.4124678 51.1275357, 71.4125318 51.1275483, 71.4125694 51.1275591, 71.4125967 51.1275797, 71.4126184 51.1276029, 71.4127328 51.1279162, 71.4127373 51.1279523, 71.4127364 51.1279913, 71.4127287 51.1280187, 71.4128009 51.1280447, 71.4128667 51.1280801, 71.4129218 51.1281218, 71.4129433 51.1281676, 71.4129511 51.1282074, 71.4129444 51.1282441, 71.4129133 51.1282763, 71.4128748 51.1283004, 71.4128224 51.1283173, 71.412789 51.128326, 71.4127122 51.1283304, 71.4126203 51.1283204, 71.4125486 51.1283042, 71.4124814 51.1282804, 71.4123444 51.1283365, 71.4105058 51.1286195, 71.4104414 51.128464, 71.4105494 51.1284452, 71.4105231 51.1283809, 71.4104163 51.1283746, 71.4104506 51.1281871, 71.4104119 51.1281136, 71.4104569 51.1281047, 71.410422 51.1280427, 71.4104668 51.1280322, 71.4104319 51.1279665, 71.4104745 51.1279569, 71.4104454 51.1279033, 71.410459 51.1277945))",Азия-Парк
9,проспект Богенбай батыра,62,3,,"POLYGON ((71.4346341 51.1779647, 71.4347791 51.1774296, 71.4348244 51.1774077, 71.436603 51.1775994, 71.4366361 51.1776241, 71.43651 51.1781519, 71.4364502 51.1781829, 71.43468 51.1780016, 71.4346341 51.1779647))",
